,ID,HHID,SEX,AGE,REGULAR,EDU,WAGE,MARRIAGE,STATUS,FULLTIME,YEAR,SPWK,SPWT,CHILDREN
0,101,1,1,57,1.0,9.0,50.0,0.0,10,48.0,1,0,0.0,0
1,201,2,0,47,1.0,12.0,75.0,1.0,10,84.0,1,0,0.0,0
2,301,3,1,36,1.0,12.0,230.0,0.0,10,50.0,1,0,0.0,0
3,401,4,0,28,1.0,16.0,110.0,1.0,10,52.0,1,0,0.0,0
4,501,5,1,24,1.0,14.0,95.0,0.0,10,56.0,1,0,0.0,0
5,801,8,0,26,1.0,14.0,120.0,0.0,10,50.0,1,0,0.0,0
7,1102,11,1,49,1.0,9.0,100.0,1.0,20,91.0,1,0,0.0,0
8,1201,12,1,22,1.0,16.0,134.0,0.0,10,54.0,1,0,0.0,0
10,2101,21,0,25,0.0,12.0,130.0,1.0,10,58.0,1,0,0.0,1
11,2901,29,0,70,1.0,6.0,50.0,1.0,10,44.0,1,0,0.0,0
13,3501,35,0,22,1.0,9.0,100.0,0.0,10,64.0,1,0,0.0,0
14,3601,36,0,42,1.0,16.0,300.0,1.0,10,44.0,1,1,30.0,2
15,3602,36,1,39,0.0,12.0,50.0,1.0,20,30.0,1,1,44.0,2
16,3901,39,0,34,1.0,12.0,200.0,1.0,10,69.0,1,0,0.0,0
18,4402,44,1,37,1.0,12.0,100.0,1.0,20,78.0,1,0,0.0,2
19,4701,47,0,34,1.0,16.0,250.0,1.0,10,50.0,1,0,0.0,1
21,5602,56,1,39,1.0,12.0,190.0,1.0,20,45.0,1,0,0.0,0
22,5701,57,1,29,1.0,16.0,130.0,0.0,10,58.0,1,0,0.0,0
23,5901,59,0,68,1.0,12.0,100.0,1.0,10,61.0,1,0,0.0,1
24,6101,61,0,61,0.0,9.0,80.0,1.0,10,84.0,1,1,54.0,0
25,6102,61,1,62,0.0,6.0,50.0,1.0,20,54.0,1,1,84.0,0
27,6302,63,0,32,1.0,12.0,100.0,1.0,20,70.0,1,1,,2
28,6801,68,0,56,1.0,12.0,118.0,1.0,10,44.0,1,0,0.0,0
29,7001,70,1,41,1.0,12.0,80.0,0.0,10,60.0,1,0,0.0,0
31,7603,76,1,31,1.0,12.0,100.0,0.0,10,62.0,1,0,0.0,0
32,7701,77,0,44,1.0,12.0,150.0,1.0,10,55.0,1,0,0.0,0
33,7901,79,0,49,1.0,16.0,300.0,1.0,10,44.0,1,0,0.0,0
34,8001,80,0,53,1.0,12.0,100.0,1.0,10,46.0,1,1,48.0,0
35,8002,80,1,47,1.0,12.0,200.0,1.0,20,48.0,1,1,46.0,0
36,8502,85,1,54,0.0,6.0,60.0,1.0,20,53.0,1,0,0.0,0
37,8802,88,1,33,1.0,9.0,100.0,1.0,20,42.0,1,0,0.0,2
38,8901,89,0,64,1.0,9.0,150.0,1.0,10,59.0,1,0,0.0,0
41,9402,94,1,52,1.0,6.0,100.0,1.0,20,72.0,1,1,,0
