,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
11,14.2673445,14.14862089,14.35292544,14.42368197,14.34301864,14.40655876,14.54957091,14.63383365,14.68785703,14.71454511,14.68736448,14.68805264
21,13.69107896,13.6972594,13.94056464,13.95838084,13.93882025,13.99560669,14.14235925,14.24049058,14.27905616,14.36641049,14.40126345,14.37720157
22,13.74226348,13.67857143,14.01049685,14.05226093,13.96723301,14.14090909,14.35684818,14.29644588,14.33087819,14.32380952,14.24907178,14.27678571
23,13.46856907,13.57255245,13.48112676,13.60240964,13.58354193,13.73403555,13.97737272,13.99157054,14.01064794,14.04237678,14.08019093,14.07153356
24,14.03821656,14.00634371,14.24031414,14.29524887,14.2,14.39258794,14.4650437,14.37460064,14.42899408,14.39947322,14.46282865,14.49763033
25,14.32047325,14.33592018,14.27149075,14.34681769,14.33707265,14.52570093,14.52245345,14.55775076,14.60752249,14.63843508,14.65122616,14.74033392
26,13.50300481,13.50211864,13.44214437,13.5589172,13.61473566,13.716916,13.93735632,13.98179396,13.96357013,14.13125638,14.10901883,14.14836325
31,13.89389775,13.90593489,13.89741168,13.92529067,13.96795124,14.0473301,14.10075294,14.14697251,14.22690824,14.22269829,14.22134285,14.21863915
32,13.18884892,13.31839904,13.52053915,13.60064,13.67136549,13.74936201,13.79075044,13.90104751,14.02270012,14.05220713,14.17846154,14.10959885
33,13.20654506,13.25377468,13.57540292,13.64348188,13.67009867,13.83520683,13.76579261,13.80577428,13.75634995,13.82052529,13.84318182,13.81294182
34,13.50830737,13.45789474,13.42663755,13.4511208,13.47259136,13.57044674,13.7717855,13.80623643,13.86191573,13.98867422,13.96412556,13.92097378
35,13.75194229,13.71026283,13.51239846,13.63282648,13.70540665,13.82938856,13.74101198,13.875,13.9594254,13.98529412,14.01432361,14.04478055
36,13.39317073,13.30143296,13.31399541,13.45442448,13.53540736,13.66412072,13.64231302,13.71263736,13.74948707,13.79542593,13.81105507,13.88815789
37,13.65407754,13.6292517,13.59612462,13.62251829,13.60189046,13.7174102,13.81236354,13.87953368,13.8626203,13.9375,13.91462596,13.96091205
38,13.43631732,13.42221418,13.55964467,13.64797436,13.63494518,13.74820574,13.80574774,13.85495751,13.92645297,13.94252522,14.05753905,14.04329515
39,13.78375734,13.8255102,13.80952381,13.7700491,13.88879159,14.0915493,14.0177665,14.14967638,14.1957265,14.25906736,14.18974359,14.14419476
1100,,,14.35292544,14.42368197,14.34301864,14.40655876,14.54957091,14.63383365,14.68785703,14.71454511,14.68736448,14.68805264
2100,,,13.94056464,13.95838084,13.93882025,13.99560669,14.14235925,14.24049058,14.27905616,14.36641049,14.40126345,14.37720157
2200,,,14.01049685,14.05226093,13.96723301,14.14090909,14.35684818,14.29644588,14.33087819,14.32380952,14.24907178,14.27678571
2300,,,13.48112676,13.60240964,13.58354193,13.73403555,13.97737272,13.99157054,14.01064794,14.04237678,14.08019093,14.07153356
2400,,,14.24031414,14.29524887,14.2,14.39258794,14.4650437,14.37460064,14.42899408,14.39947322,14.46282865,14.49763033
2500,,,14.27149075,14.34681769,14.33707265,14.52570093,14.52245345,14.55775076,14.60752249,14.63843508,14.65122616,14.74033392
2600,,,13.44214437,13.5589172,13.61473566,13.716916,13.93735632,13.98179396,13.96357013,14.13125638,14.10901883,14.14836325
3101,,,14.29363208,14.27132701,14.24052133,14.36591479,14.42195122,14.40375587,14.41647597,14.60544218,14.645,14.64451477
3102,,,14.22289157,14.48395062,14.53924051,14.51917808,14.42713568,14.55049261,14.80472637,14.82528736,14.81622912,14.83167082
3103,,,13.76861702,13.79889807,13.71052632,13.6570997,13.83896104,14.0136612,14.05124224,14.07561728,13.95288754,14.0581761
