,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
11,0.719796651,0.732687793,0.758829825,0.732780612,0.719159064,0.734706748,0.716225547,0.705440901,0.698547413,0.697821101,0.703528484,0.701418877
21,0.650391802,0.672402804,0.699851412,0.660585329,0.650856915,0.670711297,0.684788578,0.67721294,0.65600624,0.669077758,0.665886757,0.661448141
22,0.685234306,0.717996289,0.720783765,0.704225352,0.700647249,0.7,0.705432937,0.687668282,0.672521246,0.669047619,0.653465347,0.635302198
23,0.757650951,0.761363636,0.796056338,0.785542169,0.790988736,0.7919684,0.762548263,0.749778172,0.745355686,0.75080608,0.746539379,0.751102401
24,0.661358811,0.662053057,0.714136126,0.735294118,0.681656805,0.697236181,0.702308627,0.712460064,0.701606086,0.679543459,0.687216682,0.69478673
25,0.712962963,0.703991131,0.758433079,0.738942826,0.743589744,0.740654206,0.745454545,0.715045593,0.71954211,0.722269991,0.68119891,0.715289982
26,0.800480769,0.776836158,0.834394904,0.821656051,0.797525309,0.819332566,0.806674338,0.813499112,0.824225865,0.794688458,0.761149653,0.788806758
31,0.796041781,0.801498127,0.808426223,0.780724512,0.787947306,0.792739553,0.794316773,0.789885552,0.777304101,0.764447987,0.765570039,0.752230463
32,0.732613909,0.738351254,0.779204108,0.768,0.764945652,0.784177907,0.78437725,0.786756453,0.76344086,0.762733447,0.749010989,0.758357211
33,0.713519313,0.738675958,0.786262471,0.776759683,0.788931789,0.805305755,0.788405797,0.807086614,0.810442145,0.785019455,0.773232323,0.790103317
34,0.777777778,0.804784689,0.793304221,0.779576588,0.773754153,0.795189003,0.790123457,0.785603475,0.790980908,0.771485676,0.764056571,0.765543071
35,0.669256382,0.690863579,0.741769987,0.739266547,0.734288355,0.762327416,0.784990792,0.756591337,0.759072581,0.726673428,0.717241379,0.722419929
36,0.767804878,0.784032753,0.802032121,0.803725882,0.787555861,0.818926975,0.822682584,0.821245421,0.799753796,0.790600084,0.778898697,0.79446461
37,0.762032086,0.76122449,0.781914894,0.756792059,0.762579928,0.763325608,0.781715893,0.78238342,0.77460416,0.750944584,0.74605837,0.753890699
38,0.780931587,0.782199711,0.786340563,0.779354543,0.780151813,0.805921053,0.807660962,0.812464589,0.814559617,0.788749618,0.792795665,0.781334232
39,0.771037182,0.783673469,0.829493088,0.833060556,0.821366025,0.797535211,0.819587629,0.799352751,0.805128205,0.79447323,0.811965812,0.808988764
1100,,,0.758829825,0.732780612,0.719159064,0.734706748,0.716225547,0.705440901,0.698547413,0.697821101,0.703528484,0.701418877
2100,,,0.699851412,0.660585329,0.650856915,0.670711297,0.684788578,0.67721294,0.65600624,0.669077758,0.665886757,0.661448141
2200,,,0.720783765,0.704225352,0.700647249,0.7,0.705432937,0.687668282,0.672521246,0.669047619,0.653465347,0.635302198
2300,,,0.796056338,0.785542169,0.790988736,0.7919684,0.762548263,0.749778172,0.745355686,0.75080608,0.746539379,0.751102401
2400,,,0.714136126,0.735294118,0.681656805,0.697236181,0.702308627,0.712460064,0.701606086,0.679543459,0.687216682,0.69478673
2500,,,0.758433079,0.738942826,0.743589744,0.740654206,0.745454545,0.715045593,0.71954211,0.722269991,0.68119891,0.715289982
2600,,,0.834394904,0.821656051,0.797525309,0.819332566,0.806674338,0.813499112,0.824225865,0.794688458,0.761149653,0.788806758
3101,,,0.806603774,0.765402844,0.753554502,0.781954887,0.761557178,0.746478873,0.718535469,0.707482993,0.706,0.757383966
3102,,,0.775903614,0.777777778,0.744303797,0.78630137,0.764864865,0.75862069,0.758706468,0.742528736,0.775656325,0.733167082
3103,,,0.832446809,0.752066116,0.765789474,0.80060423,0.731770833,0.762295082,0.742236025,0.734567901,0.750759878,0.704402516
3104,,,0.742465753,0.742092457,0.75,0.763224181,0.745495495,0.751196172,0.743718593,0.716455696,0.727272727,0.698734177
3105,,,0.77804878,0.728735632,0.770114943,0.725,0.709750567,0.712560386,0.694915254,0.690423163,0.73364486,0.738207547
3106,,,0.779775281,0.799559471,0.737193764,0.781326781,0.762443439,0.753623188,0.779126214,0.72,0.744186047,0.727272727
3107,,,0.822384428,0.797101449,0.798927614,0.784194529,0.8075,0.837016575,0.811320755,0.798882682,0.83943662,0.793548387
3108,,,0.745,0.763888889,0.744680851,0.726744186,0.77294686,0.789215686,0.762376238,0.747191011,0.674698795,0.670520231
3109,,,0.822368421,0.807692308,0.780952381,0.760416667,0.775510204,0.778993435,0.765116279,0.767699115,0.765375854,0.744471744
3110,,,0.801699717,0.75562701,0.76744186,0.786407767,0.737951807,0.814589666,0.760806916,0.746928747,0.718015666,0.727272727
3111,,,0.803278689,0.756,0.75,0.736363636,0.68558952,0.665271967,0.653333333,0.699570815,0.621145374,0.617511521
3112,,,0.766404199,0.704485488,0.766937669,0.772079772,0.708933718,0.724683544,0.743034056,0.701897019,0.741046832,0.673972603
3113,,,0.807881773,0.808184143,0.796246649,0.799457995,0.842995169,0.7825,0.755784062,0.737913486,0.766016713,0.686567164
3114,,,0.87254902,0.815508021,0.85286783,0.854938272,0.877245509,0.84,0.864,0.864361702,0.816120907,0.801675978
3115,,,0.828092243,0.828810021,0.832310838,0.838445808,0.838565022,0.810383747,0.786458333,0.760107817,0.767908309,0.767908309
3116,,,0.791549296,0.765079365,0.81920904,0.777777778,0.788834951,0.775308642,0.737113402,0.744949495,0.778688525,0.742465753
3117,,,0.773529412,0.703389831,0.741144414,0.746438746,0.787878788,0.766009852,0.751351351,0.713903743,0.734939759,0.713414634
3118,,,0.782738095,0.713872832,0.729577465,0.775510204,0.799319728,0.806338028,0.731292517,0.778947368,0.78,0.771317829
3119,,,0.802521008,0.801007557,0.79281768,0.836158192,0.824355972,0.861809045,0.839694656,0.828087167,0.797368421,0.736147757
3120,,,0.806358382,0.800711744,0.826568266,0.834586466,0.839590444,0.78200692,0.795366795,0.823741007,0.801346801,0.8125
3121,,,0.882352941,0.842948718,0.842857143,0.829268293,0.867567568,0.84502924,0.852664577,0.838709677,0.873720137,0.845878136
3122,,,0.817204301,0.803664921,0.800664452,0.820987654,0.833333333,0.862068966,0.816129032,0.829268293,0.749090909,0.78597786
3123,,,0.814189189,0.784511785,0.752688172,0.763157895,0.769886364,0.749287749,0.750769231,0.76969697,0.735915493,0.77388535
3124,,,0.873170732,0.816933638,0.838565022,0.833333333,0.895874263,0.891615542,0.876595745,0.850409836,0.838268793,0.856481481
3125,,,0.834210526,0.809139785,0.820512821,0.829508197,0.809061489,0.845394737,0.836538462,0.759206799,0.787581699,0.810289389
3126,,,0.78125,0.794701987,0.833910035,0.794466403,0.817891374,0.828571429,0.84469697,0.811764706,0.805555556,0.777327935
3127,,,0.88976378,0.808,0.833976834,0.832618026,0.76119403,0.709543568,0.721393035,0.722772277,0.755,0.74742268
3128,,,,,,,,,0.812807882,1,0.831325301,0.858974359
3132,,,0.85380117,0.854054054,0.867924528,0.861842105,0.860824742,0.853658537,,0.842391304,,
3135,,,0.75862069,0.684931507,0.746376812,0.727272727,0.707070707,0.74,0.791666667,0.734177215,0.727272727,0.732394366
3137,,,0.765100671,0.852564103,0.859872611,0.798561151,0.884615385,0.790322581,0.833333333,0.785714286,0.781818182,0.790697674
3138,,,0.789473684,0.741935484,0.737288136,0.75,0.865546218,0.802816901,0.7734375,0.773584906,0.775510204,0.723404255
3201,,,0.677316294,0.679738562,0.639240506,0.654676259,0.630350195,0.61965812,0.668016194,0.636363636,0.592307692,0.593155894
3202,,,0.792982456,0.718631179,0.676470588,0.669322709,0.714285714,0.690647482,0.723076923,0.736220472,0.706349206,0.744769874
3203,,,0.698675497,0.712460064,0.701438849,0.752895753,0.754545455,0.754385965,0.641255605,0.658653846,0.646706587,0.657894737
3204,,,0.769953052,0.65560166,0.77540107,0.723163842,0.783333333,0.736526946,0.7,0.779411765,0.731543624,0.71641791
3205,,,0.779487179,0.820627803,0.804651163,0.849246231,0.845070423,0.881481481,0.864,0.838095238,0.804347826,0.827586207
3206,,,0.811827957,0.832335329,0.761904762,0.853658537,0.755952381,0.805882353,0.711409396,0.744966443,0.8,0.784615385
3207,,,0.661691542,0.67,0.715053763,0.712643678,0.613095238,0.710691824,0.662721893,0.579710145,0.587412587,0.544
3231,,,0.878205128,0.84,0.858974359,0.873239437,0.856382979,0.872611465,0.797101449,0.805084746,0.803571429,0.801801802
3232,,,0.781954887,0.854166667,0.804511278,0.796747967,0.767123288,0.771186441,0.724770642,0.819047619,0.811881188,0.857142857
3233,,,0.742268041,0.754716981,0.823529412,0.826923077,0.864661654,0.893939394,0.821138211,0.809090909,0.842105263,0.839506173
3234,,,0.873239437,0.854166667,0.891472868,0.822033898,0.874074074,0.886363636,0.846774194,0.876033058,0.87,0.860215054
3235,,,0.897058824,0.773722628,0.819444444,0.807142857,0.839160839,0.867768595,0.885964912,0.86,0.818965517,0.872340426
3236,,,0.857142857,0.852941176,0.869158879,0.88172043,0.942857143,0.849056604,0.887850467,0.852941176,0.82,0.836956522
3237,,,0.862385321,0.87826087,0.85046729,0.895348837,0.863013699,0.813953488,0.890410959,0.842857143,0.779220779,0.893939394
3238,,,0.828125,0.825688073,0.85,0.855769231,0.87037037,0.857142857,0.873873874,0.82300885,0.805555556,0.846153846
