,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
11,14.01757276,13.94302931,14.18082347,14.28364192,14.30526693,14.40897874,14.57747043,14.72588185,14.78246942,14.80601949,14.86819484,14.85163997
21,13.59522423,13.73206622,13.98103623,13.97959941,14.02427746,14.05445151,14.275179,14.33726337,14.42026695,14.51827243,14.57846634,14.5460251
22,13.55676127,13.56396867,13.86726228,13.98769947,14.06870229,14.08589835,14.28467683,14.33685269,14.37618297,14.42794521,14.43502658,14.47834518
23,13.14210098,13.23257767,13.32709308,13.46005587,13.51264755,13.62012012,13.77043269,13.87946429,13.97281678,14.09280639,14.08112954,14.09507524
24,13.71688574,13.8253012,13.95238095,14.06442308,14.09114858,14.24702703,14.30010225,14.35386632,14.33808554,14.40925141,14.47421875,14.53167808
25,13.71084954,13.82935685,13.99704724,14.13934426,14.18341014,14.23797071,14.26624016,14.42537827,14.46613256,14.49168745,14.52950956,14.56330749
26,13.13136095,13.22969374,13.44422111,13.47572816,13.56932153,13.63836825,13.84393064,14.08504924,14.14009009,14.30780488,14.34688755,14.3528481
31,13.47689127,13.58341969,13.64083144,13.72491319,13.7436935,13.84327875,13.95836775,14.07920921,14.12602839,14.17557252,14.24927644,14.29281658
32,13.15872156,13.11142534,13.18505287,13.33945358,13.35868573,13.44062401,13.47865754,13.68995481,13.78321415,13.82676389,13.88960232,13.92853982
33,12.87984914,12.97713951,13.14546757,13.26701768,13.37925574,13.42706131,13.37822581,13.43956504,13.51895307,13.59875954,13.66933402,13.64901747
34,12.9470297,13.07105493,13.1115007,13.19840331,13.2375,13.30486991,13.56054568,13.72761078,13.74269294,13.76014517,13.8180536,13.86878765
35,13.36850829,13.32244656,13.26297364,13.35573207,13.39218213,13.45232865,13.55830243,13.73065151,13.78314394,13.81477167,13.85940644,13.91846397
36,12.9354537,13.04567308,13.05533292,13.05973113,13.17223484,13.3867893,13.3649823,13.46801406,13.56560748,13.55564024,13.65603553,13.73160821
37,13.20014296,13.27128378,13.2413878,13.35467663,13.32952099,13.42357955,13.50924933,13.60118711,13.67607527,13.73961262,13.83020134,13.81727693
38,13.15958904,13.21062992,13.36966365,13.44368676,13.46027106,13.57542984,13.71414218,13.78590181,13.87180208,13.92662017,14.02548357,14.01236807
39,13.45510204,13.39941406,13.65041783,13.72598425,13.65441176,13.7996633,13.95317726,14.06043956,14.06581059,14.04381847,14.09533898,14.05243161
1100,,,14.18082347,14.28364192,14.30526693,14.40897874,14.57747043,14.72588185,14.78246942,14.80601949,14.86819484,14.85163997
2100,,,13.98103623,13.97959941,14.02427746,14.05445151,14.275179,14.33726337,14.42026695,14.51827243,14.57846634,14.5460251
2200,,,13.86726228,13.98769947,14.06870229,14.08589835,14.28467683,14.33685269,14.37618297,14.42794521,14.43502658,14.47834518
2300,,,13.32709308,13.46005587,13.51264755,13.62012012,13.77043269,13.87946429,13.97281678,14.09280639,14.08112954,14.09507524
2400,,,13.95238095,14.06442308,14.09114858,14.24702703,14.30010225,14.35386632,14.33808554,14.40925141,14.47421875,14.53167808
2500,,,13.99704724,14.13934426,14.18341014,14.23797071,14.26624016,14.42537827,14.46613256,14.49168745,14.52950956,14.56330749
2600,,,13.44422111,13.47572816,13.56932153,13.63836825,13.84393064,14.08504924,14.14009009,14.30780488,14.34688755,14.3528481
3101,,,13.79120879,13.84263393,13.98294243,13.98312236,14.17561983,14.21613546,14.34047619,14.56979405,14.58583691,14.6555794
3102,,,14.27419355,14.24586777,14.36601942,14.44092827,14.46296296,14.50605327,14.48039216,14.56193694,14.92990654,14.7473545
3103,,,13.59642857,13.6946472,13.56338028,13.6618799,13.60020877,13.81192661,13.85956416,14,14.19947507,14.2472067
3104,,,14.16551724,14.28959276,14.52866972,14.57764706,14.53479125,14.72795699,14.75646552,14.68950749,14.61587983,14.75704225
3105,,,13.70330739,13.78701826,13.77604167,13.88705882,14.16057692,14.13271605,14.26170213,14.25592885,14.24497992,14.41925466
3106,,,13.9054326,13.93191057,14.00326087,14.21682464,14.19656489,14.40938865,14.46985447,14.26233184,14.33333333,14.31010929
3107,,,13.25163399,13.31357759,13.15384615,13.31697613,13.5112782,13.49076517,13.53350515,13.53125,13.85751295,13.79104478
3108,,,13.06595745,13.3011583,13.25223214,13.39903846,13.25096525,13.42771084,13.4439834,13.56818182,13.48598131,13.53553299
3109,,,13.26439232,13.1875,13.36077236,13.34928717,13.34459459,13.58726899,13.62240185,13.77202643,13.82293987,13.75179856
3110,,,14.27392344,14.31619537,14.28554502,14.24873096,14.55495979,14.63076923,14.64268293,14.6627409,14.71495327,14.77697842
3111,,,15.04071661,15.13184932,15.14239482,15.25090909,15.50465839,15.51393189,15.40138408,15.33029197,15.48484848,15.47222222
3112,,,14.03280543,14.21634615,14.00952381,14.05076142,14.1204955,14.4065534,14.31912145,14.37011494,14.39294118,14.51978892
3113,,,13.69102296,13.84807256,13.78017241,14.01303318,13.75561798,14.23188406,14.06776181,14.14587738,13.93211207,14.13711584
3114,,,13.23995272,13.36609337,13.37297921,13.45280612,13.51226158,13.44387755,13.49007444,13.68107477,13.6702381,13.69354839
3115,,,12.99360341,13.09292929,13.02441406,13.13445378,13.32011605,13.41280353,13.41079812,13.35903614,13.43974359,13.44598338
3116,,,14.24580336,14.29755435,14.19128329,14.3175853,14.278826,14.4494382,14.49761905,14.59860789,14.77295285,14.69946809
3117,,,13.98918919,14.20671835,14.11984536,14.42578125,14.55737705,14.58232446,14.68304668,14.64108911,14.79434447,14.76385224
3118,,,13.81794195,13.82963989,13.92819149,13.99575071,13.95705521,14.16716867,14.31789137,14.27887789,14.42095588,14.47859922
3119,,,14.34593023,14.52123142,14.30656109,14.50812065,14.91053678,14.93687375,15.12903226,15.1092437,15.19137168,15.24880383
3120,,,13.35673352,13.50330033,13.51735016,13.6130031,13.99408284,13.98178808,14.24431818,14.071875,14.1015873,14.18949045
3121,,,13.11053985,13.07142857,13.25443787,13.28453947,13.32731959,13.44344473,13.39397906,13.46911765,13.50453172,13.58917197
3122,,,13.30696203,13.32352941,13.51923077,13.45973154,13.48942598,13.56643357,13.62633452,13.66550523,13.58893281,13.58045977
3123,,,13.63178295,13.7527933,13.73404255,13.74257426,13.90322581,14.15064935,14.17750678,14.25141243,14.48447205,14.43843844
3124,,,13.69407895,13.61135857,13.64226804,14.00545852,14.13471971,14.04058722,14.09306931,14.19117647,14.26272912,14.4481982
3125,,,13.21568627,13.51970443,13.65125,13.7746114,13.73839009,13.96822742,13.96579805,13.88782051,14.08709677,13.98344371
3126,,,13.04366197,13.36377246,13.3003096,13.27037037,13.50550964,13.63333333,13.63692308,13.8989726,13.91319444,13.92557252
3127,,,12.8650519,13.00396825,13.07733813,13.12962963,13.13210702,13.15697674,13.20575221,13.44239631,13.52926829,13.62557078
3128,,,,,,,,,13.77192982,16,13.77567568,13.70738636
3132,,,12.90265487,13.06862745,13.02325581,12.875,13.54625551,13.61206897,,13.69059406,,
3135,,,13.05927835,12.89044944,13.03892216,12.88768116,13.5625,13.29251701,13.62837838,13.54761905,13.58965517,13.765625
3137,,,12.98275862,12.93465909,12.92944785,12.93581081,13.45859873,13.84507042,13.55645161,13.86956522,14.08474576,14.45192308
3138,,,13.32920792,13.225,13.42121212,13.43030303,13.69476744,13.8079096,14.04109589,14.16206897,14.05035971,14.25416667
3201,,,13.82492582,13.94512195,13.99201278,14.00856164,14.06702899,14.18650794,14.13825758,14.35135135,14.32209738,14.44153226
3202,,,13.59801136,13.54289941,13.85304054,13.95454545,13.95053004,14.15277778,14.35823755,14.30517241,14.194,14.26284585
3203,,,13.78864353,13.9556314,13.95910781,14.08211679,13.89494163,13.71489362,13.99074074,14.10913706,14.18131868,13.94857143
3204,,,12.96441948,13.3627451,13.32978723,13.59452736,13.71393035,13.75892857,13.85958904,13.60071942,13.98591549,14.11016949
3205,,,13.44818653,13.34259259,13.20776256,13.18720379,13.49350649,13.46785714,13.70229008,13.47272727,13.77391304,14.14761905
3206,,,13.32969432,13.34771574,13.17424242,13.375,13.46010638,13.74264706,13.95355191,13.9494382,14.2275641,14.03030303
3207,,,13.50308642,13.29,13.4025641,13.41761364,13.82608696,14.01428571,13.84347826,13.90625,14.03225806,14.02105263
3231,,,12.82938389,12.94907407,12.55853659,12.81770833,13.03456221,13.40740741,13.60946746,13.61564626,13.64705882,13.61486486
3232,,,12.725,13.26282051,13.10884354,13.09230769,13.1375,13.41851852,13.71028037,13.78240741,13.80882353,13.82386364
3233,,,12.53937008,12.992,13.24568966,13.11065574,13.07586207,13.21491228,13.35648148,13.22413793,13.54320988,13.64285714
3234,,,12.69202899,13.05594406,13.14028777,13.15354331,13.13513514,13.39716312,13.53623188,13.75619835,13.67307692,13.75268817
3235,,,13.13669065,12.68656716,12.88590604,12.94117647,12.6504065,12.875,13.19196429,13.32407407,13.63513514,13.43085106
3236,,,12.70138889,12.544,13,13.09210526,13.43478261,13.6221374,13.7892562,13.49074074,13.59813084,13.65686275
3237,,,12.95886076,13.17361111,13.18571429,13.45,12.93627451,13.56880734,13.2311828,13.72058824,13.61057692,13.41904762
3238,,,12.6462585,13.32978723,13.3962963,13.25185185,13.43312102,13.75524476,13.50671141,13.708,13.64855072,13.87719298
3239,,,12.89556962,13.15068493,13.29545455,13.39236111,13.36912752,13.77981651,13.79807692,13.62616822,13.75700935,13.78504673
3240,,,12.93560606,13.15789474,12.97641509,13.09055118,13.21681416,13.40833333,13.25943396,13.15555556,13.21428571,13.42857143
3241,,,12.71621622,13.29699248,13.2885906,13.17424242,13.30833333,13.88549618,13.79850746,13.69196429,13.76442308,13.90625
3301,,,13.74279379,13.8256785,13.94097222,13.88199513,13.77977839,13.92383292,13.85621762,,,
3302,,,13.23300971,13.46039604,13.62542955,13.49331104,13.66300366,13.81385281,13.83057851,13.98023715,14.04694836,14.17277487
3303,,,13.3875969,13.40128755,13.57322176,13.75342466,13.7537037,13.68548387,13.87317073,14.01528384,14.00235849,13.77319588
3304,,,,,,,,,,13.88991597,14.09265442,14.08844765
3331,,,13.48699422,13.50453172,13.5830721,13.77054795,13.65615616,13.725,13.81410256,,,
3332,,,12.29591837,12.455,12.83035714,13.06422018,12.96190476,12.815,12.89634146,12.9382716,13.25974026,13.18309859
3333,,,12.51796407,12.89333333,12.86842105,12.90076336,12.68156425,12.79617834,12.83443709,12.81521739,12.81716418,12.66942149
3334,,,12.92045455,12.92907801,12.93801653,13.0755814,13.05384615,13.12025316,13.09243697,13.38372093,13.54901961,13.47297297
3335,,,12.62643678,12.90909091,12.875,12.92746114,12.96803653,13.04047619,13.19270833,13.18181818,13.20198675,13.11363636
3336,,,12.52906977,12.58695652,12.46575342,12.63125,12.92045455,13.1,13.25595238,13.04166667,12.95081967,13.10714286
3337,,,12.875,12.99038462,13.09670782,13.02714932,13.06508876,13.00314465,12.98630137,13.12913907,12.88721805,13.19256757
3338,,,12.80872483,12.92635659,13.29710145,13.30081301,13.09292035,12.81382979,13.24657534,13.17204301,13.38636364,13.56617647
3339,,,13.39495798,13.31428571,13.41935484,13.54726368,13.41666667,13.53456221,13.59598214,13.82894737,13.6497006,13.58536585
3401,,,13.41949153,13.51121076,13.49052133,13.57995227,13.74935733,13.97339246,14.05108696,13.91818182,13.99590164,13.91079295
3402,,,13.21180556,13.25,13.34765625,13.19747899,13.79821429,14.03679654,14.00956938,13.9954955,14.12560386,14.17942584
3403,,,13.11271676,12.93243243,13.33024691,13.14873418,13.42553191,13.60160428,13.62420382,13.57407407,13.49180328,13.62264151
3404,,,12.83173077,13.02486188,13.02743902,13.0212766,13.64351852,13.78507463,13.69126506,13.76857143,13.86655405,13.86206897
3405,,,13.26710098,13.36057692,13.4095941,13.41970803,13.57370518,13.55241935,13.63829787,13.78539823,13.95138889,13.70738636
3406,,,12.86796537,12.96495327,12.85078534,13.30748663,13.39427313,13.67,13.63661202,13.71474359,13.66532258,13.70703125
3407,,,14.13617886,14.29166667,14.25105485,14.21226415,14.59266409,14.64590747,14.47286822,14.61428571,14.41528926,14.76818182
3408,,,,,,,13.55492424,13.51276596,13.62264151,13.51422764,13.44423792,13.58230453
3431,,,12.80597015,12.7962963,12.72519084,12.76171875,13.06884058,13.08333333,13.36283186,13.56637168,13.33333333,13.2606383
3432,,,13.13852814,13.29504505,13.26865672,13.29842932,13.51941748,13.77488152,13.74585635,13.83615819,14.10416667,14.3025641
3433,,,12.47058824,12.35353535,11.99468085,12.5625,13.1682243,13.5257732,13.65882353,13.33522727,13.16666667,13.59146341
3434,,,12.9122807,12.95652174,13.29166667,13.22857143,13.11206897,13.5045045,13.65625,13.65168539,13.83139535,13.7
3435,,,12.6344086,12.77433628,12.60752688,12.953125,12.61616162,12.77272727,12.73170732,12.92777778,13.41558442,13.42045455
3436,,,12.9532967,12.98709677,13.03214286,13.07857143,13.71974522,13.40939597,13.5,13.57258065,13.83333333,13.9223301
3437,,,12.90972222,13.17307692,13.23611111,13.46,13.432,13.61034483,13.3442623,13.37946429,13.30319149,13.38505747
3438,,,12.66666667,12.90625,13.14233577,13.04424779,12.66666667,13.2481203,13.32173913,13.12962963,13.33333333,13.4009009
3439,,,13.12548263,13.06692913,13.13170732,13.46256684,,,,,,
