,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
11,0.504118616,0.517392495,0.587777598,0.558503531,0.560551774,0.584851936,0.603388447,0.572744015,0.558095515,0.580897704,0.575035817,0.602021358
21,0.478741992,0.511955855,0.524551304,0.506305638,0.509441233,0.527424483,0.551219512,0.512122219,0.51773797,0.524501661,0.542131074,0.558344956
22,0.49081803,0.4743255,0.516273133,0.530585106,0.546842471,0.551181102,0.533333333,0.507290096,0.501577287,0.496438356,0.521559362,0.526179703
23,0.455211726,0.485306465,0.522100884,0.525698324,0.525576166,0.548948949,0.525331725,0.536931818,0.508561644,0.524422735,0.542357687,0.545371637
24,0.433771486,0.467688938,0.551992225,0.55,0.54056902,0.574054054,0.543500512,0.51965924,0.552613714,0.525423729,0.48671875,0.5
25,0.47185261,0.492738589,0.546259843,0.52003643,0.533640553,0.548117155,0.523326572,0.544704264,0.54624909,0.549459684,0.548628429,0.544358312
26,0.415384615,0.428761651,0.470351759,0.467961165,0.492625369,0.518191841,0.481012658,0.472694718,0.473873874,0.464390244,0.483935743,0.483122363
31,0.471418146,0.486528497,0.504922999,0.490798611,0.488420146,0.522342492,0.512874453,0.512718463,0.513063918,0.52168837,0.531976473,0.537411577
32,0.497291441,0.503393665,0.525578737,0.534958872,0.533921509,0.556829035,0.565389696,0.570038234,0.575837411,0.576665353,0.589892295,0.593362832
33,0.494612069,0.533411489,0.507345038,0.509590071,0.530482977,0.535729387,0.524756494,0.5202844,0.534747292,0.544847328,0.540010325,0.551310044
34,0.468316832,0.467306016,0.486676017,0.486398581,0.492628205,0.519346231,0.500626959,0.504493337,0.497536946,0.502804355,0.50528914,0.510165663
35,0.500552486,0.490498812,0.507825371,0.514813225,0.515034364,0.539543058,0.514514093,0.523830345,0.522253788,0.524231128,0.503521127,0.518148343
36,0.507951356,0.488461538,0.534217016,0.537427437,0.521569899,0.56722408,0.555407654,0.548681898,0.54953271,0.565167683,0.547840129,0.573567151
37,0.473195139,0.477702703,0.520177165,0.515073435,0.515877287,0.539488636,0.556686846,0.538157151,0.553166069,0.543892534,0.548657718,0.536793459
38,0.487671233,0.494094488,0.489003881,0.478882534,0.48870582,0.514143095,0.520278998,0.522446836,0.533876863,0.531240918,0.520110531,0.540237467
39,0.667346939,0.658203125,0.651810585,0.637795276,0.616013072,0.624579125,0.682675815,0.656200942,0.632423756,0.632237872,0.666666667,0.670212766
