,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
11,0.51619989,0.505067105,0.468795591,0.478908189,0.443926908,0.44722855,0.412941417,0.41252302,0.401135702,0.393876131,0.399713467,0.381960336
21,0.533488643,0.532801962,0.476803251,0.477373887,0.45433526,0.469395866,0.47902439,0.470939887,0.451001054,0.434385382,0.411056621,0.40306834
22,0.577629382,0.577893821,0.543714103,0.515957447,0.503122831,0.497494631,0.499242424,0.507792861,0.489484753,0.460273973,0.443000591,0.413703943
23,0.629478827,0.612930311,0.585023401,0.57150838,0.55143339,0.550750751,0.55066345,0.525162338,0.521832192,0.514209591,0.498431197,0.464204286
24,0.595551062,0.602409639,0.585034014,0.575,0.555321391,0.504864865,0.558853634,0.528833552,0.496266124,0.468926554,0.46875,0.463184932
25,0.614124872,0.607883817,0.586614173,0.602003643,0.594470046,0.585774059,0.567951318,0.554332875,0.520029133,0.496259352,0.479634248,0.475452196
26,0.707692308,0.693741678,0.661306533,0.642718447,0.660766962,0.637265711,0.619102417,0.617726052,0.592792793,0.586341463,0.575301205,0.553797468
31,0.673558745,0.660103627,0.630312211,0.626822917,0.610331468,0.599407901,0.593402895,0.584789756,0.576349336,0.54584643,0.51899916,0.503536913
32,0.676056338,0.659502262,0.707916548,0.690951821,0.682689382,0.668576886,0.66347424,0.666319082,0.654873918,0.623965313,0.610604805,0.580973451
33,0.640086207,0.611957796,0.689716947,0.673561489,0.66429137,0.661733615,0.670048701,0.658301966,0.664711191,0.625477099,0.608156944,0.599344978
34,0.743564356,0.744551003,0.699298738,0.674157303,0.680128205,0.659773182,0.655172414,0.657886582,0.652873563,0.638073243,0.627291961,0.597138554
35,0.664088398,0.665083135,0.676276771,0.662086733,0.656357388,0.648066784,0.668910391,0.648885002,0.62594697,0.596924511,0.570925553,0.548132562
36,0.74181478,0.739423077,0.717324291,0.700274977,0.707103471,0.690301003,0.714143095,0.695957821,0.671401869,0.651676829,0.623738393,0.594952951
37,0.709792709,0.689189189,0.684547244,0.666838444,0.648546825,0.658522727,0.644744084,0.646410401,0.630227001,0.616369884,0.586577181,0.580519019
38,0.711643836,0.692257218,0.660413972,0.662120546,0.659845868,0.647809207,0.667011108,0.656865319,0.637897104,0.602441151,0.585815167,0.58707124
39,0.657142857,0.634765625,0.632311978,0.65511811,0.620915033,0.616161616,0.667238422,0.612244898,0.582664526,0.58685446,0.546610169,0.519756839
1100,,,0.468795591,0.478908189,0.443926908,0.44722855,0.412941417,0.41252302,0.401135702,0.393876131,0.399713467,0.381960336
2100,,,0.476803251,0.477373887,0.45433526,0.469395866,0.47902439,0.470939887,0.451001054,0.434385382,0.411056621,0.40306834
2200,,,0.543714103,0.515957447,0.503122831,0.497494631,0.499242424,0.507792861,0.489484753,0.460273973,0.443000591,0.413703943
2300,,,0.585023401,0.57150838,0.55143339,0.550750751,0.55066345,0.525162338,0.521832192,0.514209591,0.498431197,0.464204286
2400,,,0.585034014,0.575,0.555321391,0.504864865,0.558853634,0.528833552,0.496266124,0.468926554,0.46875,0.463184932
2500,,,0.586614173,0.602003643,0.594470046,0.585774059,0.567951318,0.554332875,0.520029133,0.496259352,0.479634248,0.475452196
2600,,,0.661306533,0.642718447,0.660766962,0.637265711,0.619102417,0.617726052,0.592792793,0.586341463,0.575301205,0.553797468
3101,,,0.63956044,0.595982143,0.558635394,0.542194093,0.566945607,0.537848606,0.538095238,0.480549199,0.463519313,0.465665236
3102,,,0.525345622,0.539256198,0.499029126,0.506329114,0.508158508,0.544794189,0.522058824,0.524774775,0.497663551,0.492063492
3103,,,0.604761905,0.598540146,0.568075117,0.605744125,0.565217391,0.550458716,0.564164649,0.501265823,0.467191601,0.483240223
3104,,,0.533333333,0.570135747,0.538990826,0.536470588,0.478350515,0.483870968,0.467672414,0.417558887,0.431330472,0.382629108
3105,,,0.464980545,0.505070994,0.495833333,0.472941176,0.454720617,0.448559671,0.470212766,0.446640316,0.421686747,0.399585921
3106,,,0.547283702,0.589430894,0.589130435,0.592417062,0.597678917,0.53930131,0.555093555,0.558295964,0.52173913,0.513661202
3107,,,0.594771242,0.590517241,0.604072398,0.602122016,0.619537275,0.604221636,0.582474227,0.557291667,0.593264249,0.579104478
3108,,,0.587234043,0.602316602,0.598214286,0.576923077,0.635294118,0.646586345,0.630705394,0.590909091,0.504672897,0.497461929
3109,,,0.667377399,0.657894737,0.62195122,0.590631365,0.566600398,0.574948665,0.558891455,0.480176211,0.412026726,0.414868106
3110,,,0.653110048,0.645244216,0.597156398,0.560913706,0.528150134,0.533333333,0.529268293,0.48608137,0.492990654,0.467625899
3111,,,0.57980456,0.616438356,0.563106796,0.512727273,0.46557377,0.452012384,0.439446367,0.441605839,0.446969697,0.384920635
3112,,,0.529411765,0.533653846,0.497619048,0.446700508,0.514285714,0.492718447,0.465116279,0.462068966,0.397647059,0.366754617
3113,,,0.691022965,0.680272109,0.63362069,0.644549763,0.691570881,0.66252588,0.624229979,0.581395349,0.519396552,0.456264775
3114,,,0.730496454,0.732186732,0.729792148,0.724489796,0.672972973,0.678571429,0.70471464,0.651869159,0.628571429,0.639784946
3115,,,0.744136461,0.684848485,0.705078125,0.68697479,0.635437882,0.626931567,0.598591549,0.592771084,0.584615385,0.578947368
3116,,,0.599520384,0.616847826,0.590799031,0.619422572,0.555314534,0.566292135,0.526190476,0.522041763,0.540942928,0.526595745
3117,,,0.57027027,0.534883721,0.533505155,0.5390625,0.526190476,0.539951574,0.542997543,0.465346535,0.447300771,0.435356201
3118,,,0.527704485,0.509695291,0.529255319,0.501416431,0.570552147,0.539156627,0.523961661,0.478547855,0.463235294,0.478599222
3119,,,0.69379845,0.675159236,0.678733032,0.647331787,0.652087475,0.631262525,0.637096774,0.62394958,0.575221239,0.555023923
3120,,,0.650429799,0.613861386,0.608832808,0.60371517,0.606153846,0.619205298,0.59469697,0.540625,0.523809524,0.52866242
3121,,,0.742930591,0.722527473,0.715976331,0.700657895,0.698412698,0.668380463,0.672774869,0.702941176,0.628398792,0.627388535
3122,,,0.724683544,0.747058824,0.689102564,0.704697987,0.711246201,0.72027972,0.65480427,0.599303136,0.592885375,0.601532567
3123,,,0.640826873,0.650837989,0.607902736,0.561056106,0.557647059,0.558441558,0.555555556,0.542372881,0.48757764,0.477477477
3124,,,0.708333333,0.732739421,0.740206186,0.72489083,0.733686067,0.708117444,0.736633663,0.700367647,0.710794297,0.689189189
3125,,,0.681372549,0.692118227,0.7025,0.663212435,0.617363344,0.615384615,0.592833876,0.560897436,0.512903226,0.509933775
3126,,,0.65915493,0.658682635,0.628482972,0.614814815,0.601108033,0.634782609,0.609230769,0.585616438,0.569444444,0.549618321
