,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
11,0.709147542,0.725548177,0.767193658,0.772607727,0.78479754,0.788192929,0.795168891,0.813854463,0.814713344,0.789727368,0.820214739,0.806315424
21,0.710912078,0.675055159,0.707933294,0.738209685,0.781512731,0.751330782,0.709797376,0.774341342,0.759003798,0.759592476,0.758756044,0.757008906
22,0.623020967,0.669944774,0.735403992,0.765061514,0.773789527,0.765480632,0.776930329,0.778377213,0.767697799,0.759506151,0.748526224,0.777923982
23,0.641263909,0.651931574,0.73106399,0.729881391,0.712544345,0.703512985,0.725822563,0.752159013,0.753357512,0.756816762,0.753012493,0.752932349
24,0.649031214,0.65555578,0.746084066,0.744976845,0.736580585,0.766705165,0.772542164,0.78661565,0.768993278,0.755185202,0.780966021,0.756380979
25,0.646983251,0.611999739,0.769402467,0.723615864,0.700900683,0.692481629,0.726528266,0.774108514,0.761612546,0.763114155,0.75838791,0.78850229
26,0.611713726,0.61362844,0.57382194,0.63214289,0.575866711,0.600096034,0.607448358,0.649778603,0.645597775,0.624092179,0.632059806,0.672491289
31,0.643582187,0.637010469,0.695859211,0.709970063,0.726207445,0.725361425,0.738744923,0.757162504,0.751703863,0.722881259,0.745188878,0.754855525
32,0.603136738,0.628626714,0.742576824,0.77476224,0.794488705,0.761990387,0.824275551,0.830083062,0.825709444,0.79033476,0.787414815,0.789342258
33,0.606098268,0.630866479,0.638070384,0.667554689,0.681041557,0.702088674,0.702536188,0.701079876,0.725263102,0.739360012,0.731284871,0.738550668
34,0.58013367,0.614604885,0.661689984,0.699878913,0.715850117,0.718499564,0.7011211,0.709658993,0.712466354,0.68816375,0.685224711,0.692636254
35,0.660403511,0.636339837,0.706213493,0.744078994,0.710711048,0.756793929,0.819273273,0.76722272,0.776890298,0.751147017,0.761023579,0.751039607
36,0.550979192,0.565754717,0.674073278,0.666365047,0.669912472,0.694096616,0.681188465,0.703837525,0.693956919,0.689492567,0.707798639,0.727749223
37,0.580787656,0.574421082,0.656598993,0.674703603,0.679673645,0.692188937,0.702272029,0.710002426,0.714888037,0.728722737,0.729982846,0.732173062
38,0.61363685,0.602390757,0.631923736,0.660272297,0.687300661,0.670162974,0.655870731,0.682390286,0.689102848,0.678697234,0.684716189,0.697345735
39,0.688075601,0.657589913,0.827314853,0.853896812,0.808655336,0.723436116,0.774888066,0.822723914,0.814203366,0.785086216,0.818725928,0.797671403
1100,,,0.767193658,0.772607727,0.78479754,0.788192929,0.795168891,0.813854463,0.814713344,0.789727368,0.820214739,0.806315424
2100,,,0.707933294,0.738209685,0.781512731,0.751330782,0.709797376,0.774341342,0.759003798,0.759592476,0.758756044,0.757008906
2200,,,0.735403992,0.765061514,0.773789527,0.765480632,0.776930329,0.778377213,0.767697799,0.759506151,0.748526224,0.777923982
2300,,,0.73106399,0.729881391,0.712544345,0.703512985,0.725822563,0.752159013,0.753357512,0.756816762,0.753012493,0.752932349
2400,,,0.746084066,0.744976845,0.736580585,0.766705165,0.772542164,0.78661565,0.768993278,0.755185202,0.780966021,0.756380979
2500,,,0.769402467,0.723615864,0.700900683,0.692481629,0.726528266,0.774108514,0.761612546,0.763114155,0.75838791,0.78850229
2600,,,0.57382194,0.63214289,0.575866711,0.600096034,0.607448358,0.649778603,0.645597775,0.624092179,0.632059806,0.672491289
3101,,,0.700063117,0.715727226,0.749847546,0.695333868,0.742091679,0.811370608,0.724942139,0.790026317,0.797656267,0.83662004
3102,,,0.703076331,0.738445297,0.747369903,0.758709248,0.750879523,0.823965893,0.777990908,0.776297983,0.784083852,0.739048243
3103,,,0.745670087,0.760563105,0.814632905,0.83175777,0.731565106,0.72296845,0.729123761,0.764851956,0.824976808,0.777692978
3104,,,0.666324587,0.654536908,0.700468752,0.792163474,0.780593334,0.741579887,0.705849665,0.756790991,0.763904541,0.822416551
3105,,,0.717357205,0.778031802,0.784766144,0.743429083,0.831213745,0.832701449,0.869041002,0.73933725,0.786679908,0.826245163
3106,,,0.802690181,0.763187714,0.722044039,0.763394929,0.745587195,0.725559638,0.747607812,0.727051713,0.785749669,0.813337187
3107,,,0.640098634,0.746153139,0.721629393,0.672313526,0.681202014,0.725807205,0.751318347,0.673388085,0.713998952,0.690016263
3108,,,0.783925739,0.817909579,0.62895445,0.730786708,0.756042021,0.749761775,0.868156603,0.760178608,0.75251374,0.747890879
3109,,,0.65200736,0.625029092,0.65714795,0.634235699,0.662901666,0.70751217,0.730073649,0.69868684,0.699227139,0.731415853
3110,,,0.676120671,0.705922009,0.763704821,0.719358838,0.71891872,0.739975061,0.774587398,0.744826179,0.727082441,0.713476808
3111,,,0.616062164,0.783849933,0.733212441,0.706705643,0.689655932,0.781887242,0.761661847,0.717820689,0.813191918,0.821886673
3112,,,0.737417752,0.761753579,0.839068663,0.791744955,0.793973601,0.815581103,0.85070428,0.725951505,0.797987858,0.811989239
3113,,,0.6865597,0.693492595,0.754789949,0.776822736,0.735127805,0.71721185,0.671424208,0.677069407,0.716431856,0.743584747
3114,,,0.623460212,0.672993749,0.637111072,0.698269945,0.652091798,0.684239396,0.667972513,0.647946846,0.660109194,0.686096696
3115,,,0.64187607,0.661677724,0.705522529,0.669614137,0.728864413,0.782056612,0.756276167,0.719351413,0.755911437,0.730704023
3116,,,0.714910534,0.707973608,0.700984664,0.723928384,0.679069921,0.755021941,0.733061676,0.713873005,0.711347526,0.744048593
3117,,,0.676817897,0.693824012,0.750280231,0.717378222,0.747222723,0.788989392,0.741422819,0.729117086,0.718234144,0.716210872
3118,,,0.799503138,0.764514398,0.757762666,0.734584455,0.761311123,0.838256821,0.882246197,0.740437243,0.804341139,0.80807327
3119,,,0.651294836,0.668862715,0.600011897,0.648381004,0.658355162,0.667582306,0.626487928,0.665559549,0.689080447,0.701293217
3120,,,0.681463308,0.682217121,0.810493211,0.687844674,0.743704478,0.6951276,0.736596807,0.727508971,0.810421984,0.736051644
3121,,,0.601727483,0.599397955,0.634330104,0.641898197,0.765150984,0.831770422,0.82247303,0.836799633,0.825939543,0.774711269
3122,,,0.64861979,0.672699774,0.682605683,0.700857152,0.715444563,0.735565847,0.781313612,0.714833376,0.734702247,0.788112662
3123,,,0.66950159,0.655640621,0.688379885,0.757398293,0.757763829,0.71049328,0.747389706,0.780421577,0.760498232,0.738271132
3124,,,0.624792349,0.62015138,0.624187552,0.618639449,0.639492994,0.652437488,0.670399657,0.636701719,0.626210301,0.681254999
3125,,,0.803122168,0.644244992,0.766549836,0.716751844,0.79556416,0.746557636,0.7664708,0.713875948,0.746109468,0.714604319
3126,,,0.765435774,0.804055013,0.729714969,0.772141328,0.82660115,0.799337406,0.829057362,0.746452135,0.736877001,0.777356105
3127,,,0.81998352,0.790916073,0.807353295,0.882639701,0.887253296,0.815725201,0.770162825,0.712690423,0.680352085,0.741693377
3128,,,,,,,,,0.823754199,,0.730129166,0.700318892
3132,,,0.761899483,0.857109681,0.889510206,0.833805059,0.843832164,0.807147642,,0.790938388,,
3135,,,0.854021316,0.780962425,0.771630795,0.954624997,0.884637681,0.940833866,0.861192268,0.825826065,0.777016963,0.803875219
3137,,,0.760142072,0.753764259,0.793468443,0.793788357,0.995581073,0.763061391,0.847995392,0.847394169,0.879891452,0.87163927
3138,,,0.788782757,0.742027596,0.806279239,0.952697835,0.808004058,0.86503537,0.833310897,0.693644498,0.82134434,0.874074074
3201,,,0.844290085,0.84246663,0.813490925,0.852142431,0.876891516,0.894343289,0.841841148,0.855982001,0.790115631,0.852099132
3202,,,0.727217244,0.834762331,0.811090264,0.767532864,0.740996795,0.736601505,0.737890259,0.72715845,0.767966252,0.776943891
3203,,,0.71764968,0.701900462,0.848933157,0.816497817,0.822234269,0.823952427,0.918695846,0.91293341,0.866017901,0.742144661
3204,,,0.629593162,0.631193778,0.693305087,0.6243548,0.697078216,0.628109153,0.888136365,0.809727604,0.765880974,0.778310113
3205,,,0.697627084,0.782513102,0.831114596,0.650655043,0.824774888,0.895190399,0.80896855,0.829924934,0.749034749,0.784549014
3206,,,0.656800758,0.749585992,0.754536241,0.708666491,0.839499557,0.754944624,0.724223602,0.718535642,0.799685217,0.756698182
3207,,,0.695769029,0.69894604,0.707434144,0.685292815,0.71531891,0.848137407,0.810683201,0.823447785,0.749331315,0.813315031
3231,,,0.638781786,0.763602183,0.761406898,0.704714123,0.867317678,0.995922517,0.960396466,0.751604857,0.783388911,0.794807758
3232,,,0.865267505,0.763536776,0.821486911,0.709449615,0.74291426,0.811131147,0.838857864,0.804774522,0.788652626,0.748913259
3233,,,0.795517241,0.796209002,0.764250251,0.936978996,0.775416039,0.750932803,0.66679991,0.669045669,0.651033578,0.729722043
3234,,,0.869979386,1.08998842,1.073738489,0.910200787,0.81986026,0.829421572,0.832666403,0.865326377,0.798018176,0.830987096
3235,,,0.965781557,0.906384589,0.762506866,0.743342175,0.826752692,0.716774667,0.802485146,0.794852897,0.808933544,0.859753391
3236,,,0.805772727,0.718685901,0.843769341,0.830088529,0.891979847,0.917284127,0.79323518,0.726807802,0.712687939,0.888441199
3237,,,0.662494864,0.748311179,0.761718658,0.914864407,1.028564466,1.396893166,1.377254144,0.808928295,1.010601643,0.861449487
3238,,,0.844802127,0.810773804,0.918477522,0.698667671,0.826410393,0.879453269,0.93862166,0.837239101,0.883788547,0.763593301
