,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
서울특별시,3.52 ,3.73 ,3.48 ,3.47 ,3.68 ,3.85 ,3.97 ,3.93 ,3.74 ,3.78 ,3.45 
부산광역시,3.36 ,3.70 ,3.52 ,3.39 ,3.75 ,3.92 ,3.98 ,4.18 ,3.81 ,3.76 ,3.48 
대구광역시,3.20 ,3.52 ,3.39 ,3.24 ,3.51 ,3.71 ,3.78 ,3.87 ,3.54 ,3.60 ,3.48 
인천광역시,3.34 ,3.62 ,3.50 ,3.24 ,3.43 ,3.66 ,3.64 ,3.62 ,3.47 ,3.42 ,3.22 
광주광역시,3.30 ,3.51 ,3.39 ,3.29 ,3.47 ,3.69 ,3.58 ,3.77 ,3.49 ,3.48 ,3.21 
대전광역시,3.34 ,3.52 ,3.45 ,3.31 ,3.60 ,3.90 ,3.91 ,3.85 ,3.71 ,3.68 ,3.50 
울산광역시,3.21 ,3.39 ,3.63 ,3.39 ,3.63 ,3.76 ,3.83 ,3.92 ,3.77 ,3.71 ,3.49 
세종특별자치시,-,-,-,-,-,-,3.23 ,3.29 ,3.20 ,3.76 ,3.41 
경기도,3.30 ,3.47 ,3.35 ,3.19 ,3.45 ,3.57 ,3.67 ,3.63 ,3.49 ,3.49 ,3.28 
강원도,3.31 ,3.48 ,3.36 ,3.22 ,3.36 ,3.47 ,3.45 ,3.38 ,3.25 ,3.40 ,3.19 
충청북도,3.54 ,3.74 ,3.64 ,3.41 ,3.57 ,3.84 ,3.78 ,3.80 ,3.65 ,3.62 ,3.41 
충청남도,3.58 ,3.72 ,3.62 ,3.40 ,3.59 ,3.63 ,3.65 ,3.60 ,3.50 ,3.62 ,3.39 
전라북도,3.40 ,3.64 ,3.47 ,3.27 ,3.69 ,3.78 ,3.59 ,3.66 ,3.45 ,3.45 ,3.10 
전라남도,3.34 ,3.58 ,3.49 ,3.31 ,3.52 ,3.67 ,3.58 ,3.57 ,3.47 ,3.52 ,3.30 
경상북도,3.42 ,3.62 ,3.51 ,3.44 ,3.70 ,3.93 ,3.80 ,3.94 ,3.66 ,3.75 ,3.50 
경상남도,3.41 ,3.61 ,3.46 ,3.31 ,3.66 ,3.69 ,3.69 ,3.86 ,3.61 ,3.55 ,3.38 
제주특별자치도,3.66 ,3.68 ,3.53 ,3.42 ,3.68 ,3.85 ,3.78 ,3.94 ,3.79 ,3.70 ,3.46 
,,,,,,,,,,,
,2,3,4,5,6,7,8,9,10,11,12
,16,17,18,19,20,21,22,23,24,25,26
