,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
서울특별시,28.40 ,28.59 ,28.86 ,29.15 ,29.33 ,29.53 ,29.74 ,29.91 ,30.18 ,30.30 ,30.52 
부산광역시,28.16 ,28.38 ,28.63 ,28.82 ,28.98 ,29.23 ,29.46 ,29.62 ,29.85 ,30.02 ,30.13 
대구광역시,28.00 ,28.19 ,28.34 ,28.76 ,28.83 ,29.05 ,29.22 ,29.36 ,29.49 ,29.67 ,29.77 
인천광역시,27.62 ,27.83 ,28.08 ,28.52 ,28.53 ,28.67 ,28.99 ,29.04 ,29.13 ,29.35 ,29.56 
광주광역시,27.86 ,28.04 ,28.21 ,28.62 ,28.51 ,28.66 ,29.07 ,29.19 ,29.39 ,29.59 ,29.64 
대전광역시,27.74 ,27.95 ,28.30 ,28.52 ,28.52 ,28.74 ,28.99 ,29.02 ,29.22 ,29.34 ,29.45 
울산광역시,27.46 ,27.67 ,28.15 ,28.51 ,28.43 ,28.67 ,28.87 ,28.96 ,29.08 ,29.16 ,29.25 
세종특별자치시,,,,,,,28.36 ,28.97 ,29.32 ,29.82 ,29.48 
경기도,27.51 ,27.74 ,28.07 ,28.37 ,28.75 ,28.86 ,29.09 ,29.22 ,29.40 ,29.53 ,29.71 
강원도,27.25 ,27.54 ,27.84 ,28.14 ,28.42 ,28.37 ,28.69 ,28.80 ,28.91 ,29.12 ,29.29 
충청북도,27.14 ,27.45 ,27.80 ,28.12 ,28.00 ,28.16 ,28.33 ,28.53 ,28.61 ,28.98 ,29.05 
충청남도,27.20 ,27.50 ,27.79 ,28.26 ,27.66 ,27.89 ,28.16 ,28.34 ,28.45 ,28.66 ,28.77 
전라북도,27.23 ,27.58 ,27.80 ,28.18 ,27.98 ,28.20 ,28.43 ,28.71 ,28.89 ,28.91 ,29.15 
전라남도,27.18 ,27.38 ,27.73 ,28.13 ,27.78 ,28.08 ,28.29 ,28.52 ,28.67 ,28.83 ,28.97 
경상북도,27.41 ,27.71 ,28.01 ,28.37 ,28.08 ,28.33 ,28.60 ,28.73 ,28.95 ,29.04 ,29.25 
경상남도,27.50 ,27.73 ,28.06 ,28.44 ,28.31 ,28.53 ,28.81 ,28.94 ,29.14 ,29.26 ,29.42 
제주특별자치도,28.22 ,28.23 ,28.54 ,28.82 ,28.68 ,28.90 ,29.08 ,29.48 ,29.32 ,29.55 ,29.92 
