,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
11,0.923595995,0.92590247,0.945524358,0.948221991,0.940545809,0.943066112,0.947236965,0.94021321,0.937160679,0.93187575,0.93762965,0.930311615
21,0.897121284,0.911282546,0.949916989,0.942015786,0.944995203,0.94516129,0.943253968,0.929110512,0.924158126,0.929200542,0.917913043,0.921993499
22,0.918463612,0.910282954,0.941628264,0.939784946,0.943525385,0.951176471,0.949288806,0.940740741,0.937801139,0.935052971,0.922016167,0.931939979
23,0.940688776,0.93303284,0.94895956,0.940905281,0.94743645,0.943825234,0.930316742,0.929651342,0.924608355,0.921639344,0.920066335,0.935229609
24,0.920384952,0.913321168,0.949848024,0.94655306,0.946133797,0.942708333,0.958513397,0.947694038,0.958600583,0.952919021,0.943306011,0.944086022
25,0.952931462,0.924229808,0.960122699,0.95585997,0.953627524,0.962593516,0.955954323,0.957458564,0.965068088,0.969638243,0.958531611,0.964643095
26,0.952247191,0.933618844,0.94214876,0.962452107,0.952755906,0.97044335,0.959691252,0.962666667,0.952729694,0.94214876,0.946252839,0.937743191
31,0.948214986,0.961617829,0.963340392,0.963431688,0.962655602,0.963461961,0.958790296,0.953551726,0.949373398,0.94696544,0.948031268,0.943649101
32,0.932868352,0.94741533,0.971318006,0.975728155,0.961372361,0.967501861,0.975921746,0.978562092,0.97235543,0.966785291,0.960687961,0.96634774
33,0.931234466,0.939707149,0.956917978,0.962055572,0.962749849,0.960728872,0.966737224,0.968642208,0.959419334,0.951986183,0.949870992,0.959859704
34,0.950972763,0.952282158,0.95626072,0.956431535,0.954803655,0.965336658,0.972852797,0.971508641,0.968363816,0.96264728,0.961011591,0.963162369
35,0.925503944,0.926993276,0.950672646,0.960592792,0.949591281,0.967561911,0.969857569,0.974296631,0.970249163,0.968205905,0.963160049,0.964113786
36,0.960288809,0.919855596,0.962246777,0.968902298,0.955169035,0.975695314,0.977582846,0.972385579,0.969929078,0.962,0.959067822,0.9626401
37,0.948421053,0.942694889,0.958886431,0.961508248,0.955113753,0.967769477,0.97010101,0.969175928,0.962577502,0.958420441,0.955434513,0.955077087
38,0.95659164,0.950259067,0.965141983,0.963576731,0.964666527,0.971385864,0.978994896,0.971794359,0.969557002,0.962655602,0.954348322,0.955566288
39,0.935149157,0.954966887,0.967370441,0.97130712,0.978034682,0.969411765,0.970066519,0.963041183,0.95159516,0.966442953,0.960446247,0.949945593
1100,,,0.945524358,0.948221991,0.940545809,0.943066112,0.947236965,0.94021321,0.937160679,0.93187575,0.93762965,0.930311615
2100,,,0.949916989,0.942015786,0.944995203,0.94516129,0.943253968,0.929110512,0.924158126,0.929200542,0.917913043,0.921993499
2200,,,0.941628264,0.939784946,0.943525385,0.951176471,0.949288806,0.940740741,0.937801139,0.935052971,0.922016167,0.931939979
2300,,,0.94895956,0.940905281,0.94743645,0.943825234,0.930316742,0.929651342,0.924608355,0.921639344,0.920066335,0.935229609
2400,,,0.949848024,0.94655306,0.946133797,0.942708333,0.958513397,0.947694038,0.958600583,0.952919021,0.943306011,0.944086022
2500,,,0.960122699,0.95585997,0.953627524,0.962593516,0.955954323,0.957458564,0.965068088,0.969638243,0.958531611,0.964643095
2600,,,0.94214876,0.962452107,0.952755906,0.97044335,0.959691252,0.962666667,0.952729694,0.94214876,0.946252839,0.937743191
3101,,,0.962264151,0.954003407,0.949916528,0.94772344,0.961474037,0.930807249,0.944839858,0.938741722,0.931677019,0.947452229
3102,,,0.95532646,0.967632027,0.952380952,0.941979522,0.953789279,0.938037866,0.935986159,0.92971246,0.954619125,0.953959484
3103,,,0.976190476,0.973415133,0.966403162,0.974683544,0.981378026,0.969581749,0.952182952,0.940803383,0.943866944,0.929515419
3104,,,0.964083176,0.957720588,0.97486535,0.969369369,0.944089457,0.958333333,0.945993031,0.957968476,0.937299035,0.946428571
3105,,,0.979527559,0.961290323,0.956168831,0.946666667,0.95024077,0.936026936,0.933913043,0.939542484,0.933656958,0.929936306
3106,,,0.945397816,0.95892575,0.919614148,0.954545455,0.97133758,0.946366782,0.95659164,0.934163701,0.946593002,0.920168067
3107,,,0.957627119,0.96327212,0.969465649,0.968619247,0.948905109,0.940726577,0.953216374,0.940357853,0.947470817,0.954751131
3108,,,0.947552448,0.983443709,0.950757576,0.971311475,0.948096886,0.957746479,0.936842105,0.953307393,0.956709957,0.936507937
3109,,,0.95133438,0.956747405,0.967687075,0.955277281,0.948247078,0.962722853,0.954710145,0.930379747,0.936378467,0.919642857
3110,,,0.963671128,0.973154362,0.959830867,0.966804979,0.951271186,0.979633401,0.96993988,0.947368421,0.953703704,0.965116279
3111,,,0.972067039,0.967164179,0.976047904,0.961414791,0.927977839,0.944598338,0.947530864,0.932926829,0.958333333,0.943521595
3112,,,0.970260223,0.972,0.959677419,0.956340956,0.954918033,0.957716702,0.938428875,0.94686907,0.950549451,0.934560327
3113,,,0.963222417,0.960820896,0.971910112,0.961685824,0.961844197,0.95164076,0.923211169,0.925795053,0.959484346,0.923553719
3114,,,0.974452555,0.971311475,0.967332123,0.968152866,0.957055215,0.943887776,0.95684803,0.954545455,0.964150943,0.951983299
3115,,,0.969205835,0.966717095,0.981161695,0.958778626,0.95712098,0.952755906,0.948960302,0.94891945,0.930139721,0.940042827
3116,,,0.952848723,0.943438914,0.974806202,0.966527197,0.9375,0.933786078,0.92,0.926199262,0.940038685,0.948818898
3117,,,0.959660297,0.965517241,0.96473029,0.965235174,0.953900709,0.940325497,0.925143954,0.934653465,0.92371134,0.935064935
3118,,,0.952380952,0.934065934,0.951965066,0.959745763,0.950588235,0.956626506,0.945,0.967661692,0.95821727,0.924324324
3119,,,0.943076923,0.961111111,0.951830443,0.959537572,0.949429038,0.974874372,0.975,0.945762712,0.938811189,0.961904762
3120,,,0.972972973,0.959899749,0.967828418,0.972222222,0.966507177,0.959079284,0.956896552,0.963680387,0.958429561,0.951100244
3121,,,0.974509804,0.963203463,0.960280374,0.957345972,0.985074627,0.958878505,0.962192817,0.952380952,0.968017058,0.96
3122,,,0.961373391,0.964509395,0.96350365,0.961451247,0.949698189,0.961098398,0.957040573,0.980049875,0.968571429,0.971509972
3123,,,0.959488273,0.95194508,0.974293059,0.967032967,0.967611336,0.945031712,0.948081264,0.965292842,0.922330097,0.942060086
3124,,,0.969949917,0.97826087,0.974151858,0.967159278,0.969002695,0.971350614,0.971212121,0.957540264,0.960912052,0.973856209
3125,,,0.977818854,0.970645793,0.953156823,0.971800434,0.950704225,0.960187354,0.961883408,0.944933921,0.967365967,0.924444444
3126,,,0.957399103,0.95410628,0.977099237,0.988023952,0.978922717,0.97979798,0.929648241,0.964383562,0.947075209,0.924418605
3127,,,0.981865285,0.984939759,0.953424658,0.98489426,0.971346705,0.913580247,0.956989247,0.948529412,0.949612403,0.918727915
3128,,,,,,,,,0.975265018,1,0.976190476,0.978632479
3132,,,0.97833935,0.985347985,0.988505747,0.987603306,0.983277592,0.976821192,,0.973782772,,
3135,,,0.963541667,0.962765957,0.947867299,0.988439306,0.97972973,0.919753086,0.940740741,0.950704225,0.963768116,0.93442623
3137,,,0.948356808,0.962025316,0.961702128,0.970873786,0.96460177,0.95959596,0.948275862,0.957831325,0.965714286,0.969924812
3138,,,0.957446809,0.947867299,0.966480447,0.95754717,0.989637306,0.980295567,0.968085106,0.966292135,0.920245399,0.947761194
3201,,,0.97715736,0.984168865,0.941018767,0.945244957,0.96996997,0.971428571,0.932098765,0.930362117,0.953846154,0.95
3202,,,0.947867299,0.953125,0.944289694,0.952941176,0.944134078,0.958791209,0.960227273,0.954907162,0.935779817,0.951367781
3203,,,0.969465649,0.972292191,0.983146067,0.983286908,0.99378882,0.967845659,0.959259259,0.943319838,0.940639269,0.9375
3204,,,0.989399293,0.988847584,0.957364341,0.928270042,0.966527197,0.95412844,0.945054945,0.946236559,0.921182266,0.941520468
3205,,,0.985239852,0.97993311,0.971830986,0.966555184,0.982222222,0.985849057,0.989690722,1,0.980263158,0.986013986
3206,,,0.969072165,0.976095618,0.952380952,0.969811321,0.991452991,0.987903226,0.980952381,0.985148515,0.979166667,0.984126984
