행정구역(시도)별,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016 p)
서울특별시,,16.85059423,15.94624046,14.84962406,13.20240044,20.40963855,21.57294377,15.29218107,13.49229012,16.3668386,16.03243243,11.05934967,9.723154362,-1.307439407,10.90021692,10.71603213,7.590384251,12.19211823,5.849145366,2.898765432,5.394250612,4.685578981,7.781644193,4.963880705,3.6025991,6.572404067,5.035344918,3.554023141,2.106611173,3.307935911,5.153575331,4.612365064
부산광역시,,12.70171786,14.68822171,13.65283931,7.512402551,24.19248517,17.8343949,7.027027027,10.37457912,14.7950429,16.35940874,10.39109335,7.757951901,0.407967363,8.341300191,5.382748732,11.62863722,8.316924519,9.695290859,6.376262626,4.577151335,4.242037313,8.084382443,8.329660643,0.865976985,5.635263613,4.576446844,2.451491759,3.62488545,4.844256657,6.199625117,3.940343291
대구광역시,,17.55348327,17.68548763,11.61776368,9.662522202,21.86588921,13.50345561,9.039812646,7.366838488,16.42328466,14.63917526,10.80635492,9.3602056,-5.355596784,8.207004705,8.128019324,6.042667262,8.826627344,5.47812621,7.93723619,4.242115107,5.708693525,6.819935195,3.242813809,1.525008744,7.200440984,7.288854609,3.906062785,4.226245387,3.988493666,5.303755719,1.783278606
인천광역시,,12.67553585,12.52869793,18.77003789,10.72392638,18.30673759,22.70513301,6.091603053,8.101885163,10.75612354,17.62019231,7.980788882,8.308886155,-8.973350808,4.578613937,6.535107848,10.10597054,13.58372457,5.139156793,8.635827546,3.18455971,5.51204115,8.24331062,-2.410563488,4.499685337,11.88898926,0.713164387,-0.832813753,2.613733327,6.271609261,8.104768965,5.973333333
광주광역시,,#VALUE!,#VALUE!,29.58078191,13.7041076,24.71227621,16.20097411,13.23626737,9.662965128,16.77029668,15.70059334,10.82182774,6.264831514,-8.184457347,6.43317524,9.209323583,8.056078678,9.295120062,2.781715096,5.473194277,8.760317071,6.942670373,7.630155273,2.199882499,2.919008687,9.700242041,4.667345553,3.929517323,2.933222384,5.092966855,3.8125,3.704904367
대전광역시,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,21.89938122,19.6866034,10.32638761,9.226140732,7.299158378,10.13976041,9.711252104,8.20252567,-2.421465969,4.538341158,10.17964072,4.745729814,10.43268785,7.106300864,5.6399812,3.121755895,3.775077299,5.633314856,5.024598229,5.746049591,7.725473983,6.486101212,3.248893008,1.515982646,3.767745739,4.544593827,5.968121717
울산광역시,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,8.048695382,7.58907747,6.680229456,9.538249914,-1.155887893,15.47656859,1.250218788,3.603091892,10.60736079,6.346709194,-3.005248546,19.48228314,8.09596251,1.810123101,-4.529854778,-3.112154043,2.842812237,1.810529129
경기도,,15.00187056,13.82563435,19.54844241,13.33970834,17.54904029,17.85393863,9.439707674,9.515859766,13.21138211,11.86041293,4.935299428,2.800879457,-3.635856426,14.62896845,10.32915229,7.347779643,7.20022745,4.31640366,6.820059747,4.04022373,4.323706034,5.432816183,4.180532446,3.778199241,10.33520896,1.791474152,3.040294609,7.496987076,3.734487958,5.85100436,3.946766187
강원도,,15.50677254,16.57905378,14.15192508,13.85597083,20.1494529,14.48245224,10.80714009,8.80756435,16.6720309,17.57241379,15.62646645,8.157467532,-2.673545966,5.918072289,4.741104741,5.395308427,8.317533592,10.46423135,5.160179125,3.649109015,6.73155932,7.805282483,3.828828829,3.703507751,4.953828886,5.264437099,3.925190487,4.345700955,4.811991654,5.992768049,5.193958908
충청북도,,5.517865219,11.87312473,19.27203065,17.15387086,21.33260214,22.12429379,14.89637306,15.76743437,20.3672788,19.84512252,11.82370528,2.984044847,-3.215811071,11.99273168,5.176543305,4.341438331,8.363841172,6.275987526,13.87700208,-0.295254456,7.796263393,7.00264722,2.21257527,4.863679956,12.76892257,6.19062331,1.723824417,7.833112867,4.160864664,5.006843429,6.117005153
충청남도,,16.25974026,11.03663986,20.36217304,7.221664995,16.96289367,24.44681418,22.0437018,19.32596103,25.34568991,20.19715996,14.45030268,15.13393619,-0.844694724,13.91421312,11.33560745,6.905491398,11.51344797,12.42524589,10.79702818,6.122287029,4.5689075,6.986556064,6.389947196,10.48250298,13.81535924,8.79090682,2.33759673,2.338052819,4.003595782,2.736376094,2.322861305
전라북도,,16.46143876,11.46355036,19.67049426,11.68126825,19.46208442,22.82676673,18.60997963,14.2519854,26.75183167,13.91729658,14.32474629,9.912370547,-5.653344378,8.680860404,7.755225689,7.075250679,7.885524243,5.483897136,8.736445436,3.444373718,6.515793792,7.510109763,6.269030987,8.933086128,5.209139203,8.304328644,0.697053365,4.939991909,3.589479997,2.840721138,2.806481444
전라남도,,13.7630662,17.45788668,26.03215993,11.72413793,21.57407407,27.5450622,22.35270701,16.87001789,12.41648107,29.37097573,11.93529862,15.17742625,1.610987379,3.455834003,6.398305085,8.515863534,9.303321304,10.47565753,13.19015297,3.763537098,1.242075301,12.59211928,10.54821989,-1.191005852,16.7399813,4.578091621,2.896700428,-3.722289622,-0.180422705,4.5273275,4.023824555
