단위: 천원,,,,,,,,,,,,
,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질
,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
전국,117084.5645,121515.3951,121018.8092,118713.3671,123248.216,131703.0988,135395.7293,137824.7651,142393.8733,146700.0283,149174.9618,147846.8146
수도권,146309.3382,156733.1868,158298.2835,154780.2049,161149.7415,171253.4041,173606.2243,177161.8412,186320.196,195199.5919,201235.5837,200760.9547
지방권,85964.23525,85973.38262,84223.87579,82955.48511,85803.88392,92308.31831,96249.27971,97736.19614,99355.30162,100758.3831,101195.5766,99671.08995
6대광역시,104032.2438,105438.7455,103946.2668,102974.1078,107095.7705,114470.0107,118039.9161,120257.0176,123949.8945,127354.5247,129318.2045,128308.4135
5대광역시,108420.0544,108273.7933,105242.5736,103257.4128,107869.8308,116941.6935,121704.5226,124017.5918,126837.9731,129791.5707,131394.5782,130114.0685
9개도,96008.04201,100072.8978,99466.3089,97066.3506,99925.97333,107450.0395,110947.9607,112538.2552,115942.3835,119255.6421,120780.8544,119311.5124
8개도,70017.8806,70127.56375,69322.1393,68602.64702,70151.78667,74770.52709,78079.39191,79061.16819,80048.21256,80749.96405,80705.7265,79244.79429
서울,194712.6844,207145.9514,209960.9724,205477.7707,216269.299,228365.3471,231107.4669,237351.8058,248335.8479,258166.3073,266746.0377,266740.6557
강북지역,159177.5818,171304.9068,177355.309,174228.9825,180800.6738,189427.6827,192036.429,196891.6428,205876.0966,213024.5373,220026.7296,219748.774
도심권,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,251286.3429,257606.568,265495.6571,271104.6241,275342.0229,276566.8866
종로구,248771.9644,253611.7355,256741.4431,252315.1441,254096.9557,257533.8669,260764.644,263015.694,266535.7731,269978.9136,273850.2318,275753.4546
중구,216462.7717,226920.3096,224799.8194,222864.098,230959.118,242954.0944,242896.9328,251781.3553,263415.4251,270410.0368,274442.2124,275451.3227
용산구,234013.8072,236076.5917,234879.4203,227736.9074,234234.5763,246188.4287,249083.8134,256798.8704,265664.9783,272302.1885,276691.7387,277612.7278
동북권,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,186343.632,191043.7088,201031.5782,209268.5776,217206.6479,215730.6761
성동구,157515.3705,163461.0399,161400.1118,156132.535,163612.9073,176372.8562,177945.966,187964.811,197838.5138,206943.7845,216875.6804,215351.6946
광진구,135737.1584,148794.0392,155130.0757,154822.7681,168984.6033,183612.9924,188803.3603,194635.7563,204900.8209,211518.9774,217923.7443,215604.3489
동대문구,151100.6141,166658.2672,175390.3963,176319.5778,179260.0067,185123.8067,187304.4634,190986.6922,199604.0906,208282.8653,216618.2612,215748.7228
중랑구,160254.7682,180184.9981,186160.3562,182993.1522,186157.7527,191598.7252,195567.613,200223.3856,207680.6653,211779.3542,216728.5837,215369.7414
성북구,151534.352,167351.3724,178866.6408,177421.4452,182312.1067,188989.1368,193031.0182,195586.0334,202102.1939,208617.6356,214577.2946,214918.573
강북구,154205.2649,161538.2319,177416.4284,179271.7509,189006.3793,192442.4267,193626.7337,201572.7791,208751.281,214513.3109,219045.3565,216290.1249
